COD. DEP.,DEPARTAMENTO,COD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,ANO,PERIODO,AREA SEMBRADA (ha),AREA COSECHADA (Ha),PRODUCCION (t),RENDIMIENTO (t/ha),DESEMPENO (Ha cos/Ha sem),ESTADO DEL CUTIVO,CICLO DE CULTIVO
76,VALLE DEL CAUCA,76111,BUGA,CEREALES,MAIZ,MAIZ,2008,2008B,495.0,394.0,1773,4.5,0.79,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76403,LA VICTORIA,CEREALES,MAIZ,MAIZ,2008,2008B,369.0,362.0,1991,5.5,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7636,ANDALUCIA,CEREALES,MAIZ,MAIZ,2008,2008B,336.0,288.0,1774,6.16,0.85,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76318,GUACARI,CEREALES,MAIZ,MAIZ,2008,2008B,310.0,250.0,1250,5.0,0.80,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76306,GINEBRA,CEREALES,MAIZ,MAIZ,2008,2008B,282.0,279.0,1562,5.6,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76248,EL CERRITO,CEREALES,MAIZ,MAIZ,2008,2008B,277.0,277.0,1606,5.8,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76823,TORO,CEREALES,MAIZ,MAIZ,2008,2008B,240.0,195.0,760,3.9,0.81,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76828,TRUJILLO,CEREALES,MAIZ,MAIZ,2008,2008B,200.0,200.0,600,3.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7652,PALMIRA,CEREALES,MAIZ,MAIZ,2008,2008B,102.0,101.0,555,5.5,0.99,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76895,ZARZAL,CEREALES,MAIZ,MAIZ,2008,2008B,95.0,95.0,332,3.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76616,RIOFRIO,CEREALES,MAIZ,MAIZ,2008,2008B,82.0,82.0,492,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7667,SAN PEDRO,CEREALES,MAIZ,MAIZ,2008,2008B,80.0,80.0,440,5.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7641,ANSERMANUEVO,CEREALES,MAIZ,MAIZ,2008,2008B,73.0,73.0,440,6.3,1.0,GRANO SECO,TRANSITORIO
